NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06437730,Comparison of INIT and Dry Needling on Trigger Points in Knee OA,https://clinicaltrials.gov/study/NCT06437730,RECRUITING,Knee Osteoarthritis,OTHER: Integrated Neuromuscular Inhibition Technique:|OTHER: Dry needling:,Riphah International University,,INTERVENTIONAL
NCT06437717,Role of Nanoemulsified Sesame Oil in Post-operative Care After Endoscopic Sinus Surgery,https://clinicaltrials.gov/study/NCT06437717,COMPLETED,Chronic Rhinosinusitis (Diagnosis),OTHER: application of different topical nasal solutions,Mansoura University,,INTERVENTIONAL
NCT06437704,Effects of Brain Training Games on Cognitive Function and Quality of Life in MCI,https://clinicaltrials.gov/study/NCT06437704,RECRUITING,Mild Cognitive Impairment,OTHER: Brain training game Lumosity|OTHER: Simulation game simcity buildit,Riphah International University,,INTERVENTIONAL
NCT06437691,Effect of Stent Placement on Short Term Survival of Left Sided Obstructive Colorectal Cancers,https://clinicaltrials.gov/study/NCT06437691,COMPLETED,Colorectal Cancer,PROCEDURE: Self-Expandable Metallic Stent Placement,"Yasir Musa Kesgin, MD",,OBSERVATIONAL
NCT06437678,Phase II Study of Liposomal Irinotecan for Advanced Refractory Gastric Cancer,https://clinicaltrials.gov/study/NCT06437678,NOT_YET_RECRUITING,Gastric Cancer,DRUG: Liposomal Irinotecan Hydrochloride,Zhejiang Cancer Hospital,,INTERVENTIONAL
NCT06437665,Tech-wise Driver (Technology Acceptance of Targeted ADAS for Older Adults),https://clinicaltrials.gov/study/NCT06437665,NOT_YET_RECRUITING,Older Adults|Driving|Simulator,BEHAVIORAL: The intervention name in this study is ADAS-integrated driver simulation training.,"Western University, Canada",,INTERVENTIONAL
NCT06437652,An AI Algorithm for Lymphocyte Focus Score of Minor Salivary Gland Biopsy Samples for Diagnosing Sjogren's Syndrome,https://clinicaltrials.gov/study/NCT06437652,RECRUITING,Sjogren's Syndrome,,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,OBSERVATIONAL
NCT06437639,MEXIDOL® Sequential Therapy of Patients With Primary Open-angle Glaucoma (POAG),https://clinicaltrials.gov/study/NCT06437639,COMPLETED,Primary Open-Angle Glaucoma (POAG),DRUG: Mexidol,Pharmasoft,,INTERVENTIONAL
NCT06437626,The Study of Efficacy and Safety of Mexidol® in Stroke Therapy (MIR),https://clinicaltrials.gov/study/NCT06437626,COMPLETED,Ischemic Stroke,DRUG: Mexidol|DRUG: Placebo,Pharmasoft,,INTERVENTIONAL
NCT06437613,"""Effects of Passive Static Stretching of 30 Seconds Versus 60 Seconds on the Hamstring Flexibility in Adults With Hamstring Tightness.",https://clinicaltrials.gov/study/NCT06437613,RECRUITING,Hamstring Flexibility,PROCEDURE: Passive Static Stretching exercises for 30 seconds|PROCEDURE: Passive Static Stretching exercises for 60 seconds,Foundation University Islamabad,,INTERVENTIONAL
NCT06437600,Immediate Angioplasty For Acute Ischemic Stroke With Severe Intracranial Atherosclerotic Stenosis,https://clinicaltrials.gov/study/NCT06437600,NOT_YET_RECRUITING,"Stroke, Acute Ischemic",PROCEDURE: Immediate angioplasty,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Shenzhen Hospital of Southern Medical University,INTERVENTIONAL
NCT06437587,Effects of Appropriate Technology for Home-based Rehabilitation in Patients With Post-stroke Physical Dysfunction,https://clinicaltrials.gov/study/NCT06437587,NOT_YET_RECRUITING,Stroke,OTHER: Home-based rehabilitation appropriate technology (S-HRAT) training,Xi Chen,Harbin Medical University,INTERVENTIONAL
NCT06437574,Intensive Cholesterol-Lowering and CD8+ T Cells in Prostate Cancer,https://clinicaltrials.gov/study/NCT06437574,RECRUITING,Prostate Cancer,DRUG: Vytorin,Cedars-Sinai Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT06437561,Report of Ten Cases of Venous Aneurysm in Extremities,https://clinicaltrials.gov/study/NCT06437561,COMPLETED,Venous Aneurysm Nos|Arteriovenous Malformations|Vascular Diseases,,Golestan University of Medical sciences,,OBSERVATIONAL
NCT06437548,Epidural Stimulation for Upper Extremity Function,https://clinicaltrials.gov/study/NCT06437548,NOT_YET_RECRUITING,Spinal Cord Injury Cervical|Tetraplegia,DEVICE: Percutaneous spinal cord stimulation,Brigham and Women's Hospital,,INTERVENTIONAL
NCT06437535,Role of Vaspin in Pathophysiology of Pre-eclampsia,https://clinicaltrials.gov/study/NCT06437535,NOT_YET_RECRUITING,Pre-Eclampsia,,Assiut University,,OBSERVATIONAL
NCT06437522,A Study of BL-B01D1+PD-1 Monoclonal Antibody in Patients With Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma and Other Solid Tumors,https://clinicaltrials.gov/study/NCT06437522,NOT_YET_RECRUITING,Head and Neck Squamous Cell Carcinoma,DRUG: BL-B01D1|DRUG: PD-1 monoclonal antibody,"Sichuan Baili Pharmaceutical Co., Ltd.","Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT06437509,A Study of BL-B01D1+PD-1 Monoclonal Antibody in Patients With Extensive-stage Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT06437509,RECRUITING,Extensive-stage Small-cell Lung Cancer,DRUG: BL-B01D1|DRUG: PD-1 monoclonal antibody,"Sichuan Baili Pharmaceutical Co., Ltd.","Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT06437496,68Ga-AAZTA-093 PET/CT: First-in-human Study,https://clinicaltrials.gov/study/NCT06437496,RECRUITING,Malignant Neoplasm of Prostate,DRUG: 68Ga-AAZTA-093|DRUG: 68Ga-PSMA-11//68Ga-PSMA-617,First Affiliated Hospital of Fujian Medical University,,INTERVENTIONAL
NCT06437483,Effects of Sustained Natural Apophyseal Glides Combined With Kinesiotaping in Patients With Chronic Mechanical Neck Pain: A Randomised Controlled Trial,https://clinicaltrials.gov/study/NCT06437483,RECRUITING,Neck Pain,PROCEDURE: Sustained Natural Apophyseal Glides|PROCEDURE: Kinesiotaping|PROCEDURE: Conventional Treatment,Foundation University Islamabad,,INTERVENTIONAL
NCT06437470,Effect of Blood Flow Restriction Technique After Anterior Cruciate Ligament Reconstruction,https://clinicaltrials.gov/study/NCT06437470,NOT_YET_RECRUITING,Anterior Cruciate Ligament Injuries,OTHER: blood flow restriction technique,Cairo University,,INTERVENTIONAL
NCT06437457,Comparison of Gd-EOB-DTPA-enhanced MRI and Contrast-enhanced Ultrasound for Measuring Tumor Size of Solitary Hepatocellular Carcinoma ≤ 5cm:A Retrospective Study,https://clinicaltrials.gov/study/NCT06437457,COMPLETED,HCC - Hepatocellular Carcinoma,RADIATION: ceus,Anhui Medical University,,OBSERVATIONAL
NCT06437444,Asthma Crisis in Paediatrics: Impact of a Care Pathway in Primary and Hospital Care,https://clinicaltrials.gov/study/NCT06437444,RECRUITING,Asthma in Children|Implementation Science|Inappropriate Prescribing,BEHAVIORAL: The implementation strategy to encourage the adoption of the Care Pathway,Basque Health Service,Health Department of the Basque Government,INTERVENTIONAL
NCT06437431,Glenzocimab in Anterior Stroke With Large Ischemic Core Eligible for Endovascular Therapy,https://clinicaltrials.gov/study/NCT06437431,NOT_YET_RECRUITING,Acute Ischemic Stroke,DRUG: glenzocimab|DRUG: placebo,Fondation Ophtalmologique Adolphe de Rothschild,,INTERVENTIONAL
NCT06437418,Association of Biliary Tract Disorders in Chronic Kidney Disease Patients and Its Related Risk Factors,https://clinicaltrials.gov/study/NCT06437418,NOT_YET_RECRUITING,CKD|Gall Bladder Dysfunction,DIAGNOSTIC_TEST: abdominal ultrasonography.,Assiut University,,OBSERVATIONAL
NCT06437405,Resistance Exercise Plus Vinegar Ingestion on Biomarkers in Healthy Adults,https://clinicaltrials.gov/study/NCT06437405,RECRUITING,LPS|Mood Disorders|Cognitive Change,DIETARY_SUPPLEMENT: Vinegar liquid|DIETARY_SUPPLEMENT: vinegar pill,Arizona State University,,INTERVENTIONAL
NCT06437392,Evaluation of Sarcopenia and Related Factors in Patients Diagnosed With Psoriatic Arthritis,https://clinicaltrials.gov/study/NCT06437392,RECRUITING,Psoriatic Arthritis,,Ankara City Hospital Bilkent,,OBSERVATIONAL
NCT06437379,Infection Control Measures for Patients Undergoing Percutaneous Nephrolithotomy,https://clinicaltrials.gov/study/NCT06437379,ACTIVE_NOT_RECRUITING,Urological Nursing|Kidney Stone,BEHAVIORAL: Infection control,Assiut University,,INTERVENTIONAL
NCT06437366,Nurse-Led Heart Math Training Program With Substance Use Disorder,https://clinicaltrials.gov/study/NCT06437366,RECRUITING,Substance Abuse,BEHAVIORAL: Nurse-Led Heart Math Training Program,Alexandria University,,INTERVENTIONAL
NCT06437353,Surufatinib Combined With Carboplatin/Paclitaxel and Surufatinib Combined With Olaparib as First-line and Maintenance Therapy for Newly Diagnosed High-risk Ovarian Cancer,https://clinicaltrials.gov/study/NCT06437353,RECRUITING,Ovarian Cancer,DRUG: Paclitaxel,Anhui Provincial Cancer Hospital,Hutchison Medipharma Limited,INTERVENTIONAL
NCT06437340,Life Satisfaction of Fathers of Children With Cerebral Palsy,https://clinicaltrials.gov/study/NCT06437340,COMPLETED,Cerebral Palsy|Father-Child Relations|Life Satisfaction,,Kirsehir Ahi Evran Universitesi,,OBSERVATIONAL
NCT06437327,Comparison of Effectiveness Between Active Release Technique and Hold Relax Technique in Patients With Piriformis Syndrome,https://clinicaltrials.gov/study/NCT06437327,RECRUITING,Piriformis Syndrome,PROCEDURE: Electrotherapy|PROCEDURE: Active release technique|PROCEDURE: Hold relax technique,Foundation University Islamabad,,INTERVENTIONAL
NCT06437314,Effect of an Intervention Based on Back School in an Aquatic Environment on Non-specific Low Back Pain,https://clinicaltrials.gov/study/NCT06437314,NOT_YET_RECRUITING,Low Back Pain|Exercise|Healthy,BEHAVIORAL: Aquatic program based on the back school,University of Vigo,,INTERVENTIONAL
NCT06437301,End Tidal CO2 and Masks: Is There a Correlation?,https://clinicaltrials.gov/study/NCT06437301,COMPLETED,End Tidal Carbon Dioxide (ETCO2),OTHER: Baseline measure of ETCO2 without mask|OTHER: Baseline ETCO2 with mask|OTHER: ETCO2 after 200 meter walk with mask|OTHER: ETCO2 after 200 meter walk without mask,CHRISTUS Health,,INTERVENTIONAL
NCT06437288,Hematoporphyrin Photodynamic Therapy for Esophageal Cancer,https://clinicaltrials.gov/study/NCT06437288,NOT_YET_RECRUITING,Esophageal Cancer|Photodynamic Therapy,PROCEDURE: photodynamic therapy,Sun Yat-sen University,,INTERVENTIONAL
NCT06437275,The Degree of Knowledge and Attitude of Egyptian Physicians Regarding Emergency Treatment of Traumatic Dental Injuries,https://clinicaltrials.gov/study/NCT06437275,NOT_YET_RECRUITING,Traumatic Dental Injuries,OTHER: Questionnaire for the degree of knowledge and attitude,Cairo University,,OBSERVATIONAL
NCT06437262,Antibacterial Effect and Substantivity of a New Chlorhexidine and Cymenol Gel on Oral Biofilm and Saliva,https://clinicaltrials.gov/study/NCT06437262,COMPLETED,Healthy|Saliva|Biofilms,DRUG: 0.20% CHX gel on saliva|DRUG: 0.20% CHX and Cymenol gel on saliva|DRUG: 0.20% CHX gel on oral biofilm|DRUG: 0.20% CHX and Cymenol gel on oral biofilm,University of Santiago de Compostela,"Lacer, S.A.",INTERVENTIONAL
NCT06437249,"Children's Dental Anxiety in Relation to Parental Dental Anxiety, Child's Age and Gender and Caries Experience",https://clinicaltrials.gov/study/NCT06437249,NOT_YET_RECRUITING,Child Dental Anxiety,,Cairo University,,OBSERVATIONAL
NCT06437236,Comparative Study Between Intravenous Granisetron and Ondansetron on Their Effect on Hemodynamics and Shivering After Spinal Anesthesia in Elective Cesarean Delivery,https://clinicaltrials.gov/study/NCT06437236,RECRUITING,Hemodynamic Instability and Shivering,DRUG: ondansetron|DRUG: granisetron,Sohag University,,INTERVENTIONAL
NCT06437223,Study of Xiflam™ Treatment in Patients Post COVID-19 Infection Suffering From What is Known as Long COVID (LC),https://clinicaltrials.gov/study/NCT06437223,RECRUITING,Long COVID,DRUG: Tonabersat|DRUG: Placebo,Inflammx Therapeutics Inc,,INTERVENTIONAL
NCT06437210,Evaluation of Treatment With Viusid in Post-COVID-19 Syndrome,https://clinicaltrials.gov/study/NCT06437210,COMPLETED,Post-COVID-19 Syndrome|COVID-19|Dyspnea|Fatigue|Cough|Inflammation,DIETARY_SUPPLEMENT: Viusid Oral Solution|DIETARY_SUPPLEMENT: Placebo,Catalysis SL,,INTERVENTIONAL
NCT06437197,Evaluation of Using Platelet-Rich Fibrin in Adult Pulpotomy,https://clinicaltrials.gov/study/NCT06437197,COMPLETED,Irreversible Pulpitis,PROCEDURE: Pulpotomy,Al-Azhar University,,INTERVENTIONAL
NCT06437184,Increased Tuberculosis Case Detection - DiOpTB,https://clinicaltrials.gov/study/NCT06437184,RECRUITING,Tuberculosis,DIAGNOSTIC_TEST: ODP,Aarhus University Hospital,Linkoeping University|University of Gondar,INTERVENTIONAL
NCT06437171,FeNO as a Marker of Allergic Reactions to OFC and Response of OMA Treatment in Multiple FA,https://clinicaltrials.gov/study/NCT06437171,RECRUITING,Food Allergy,BIOLOGICAL: Omalizumab,AAADRS Clinical Research Center,,INTERVENTIONAL
NCT06437158,Use of Bleomycin in the Sclerotherapy of Lymphatic Malformations for Pediatric Patients,https://clinicaltrials.gov/study/NCT06437158,RECRUITING,Lymphatic Malformation,DRUG: Bleomycin,West China Hospital,,INTERVENTIONAL
NCT06437145,Acute Effects of HIIT vs. MICT on HRV,https://clinicaltrials.gov/study/NCT06437145,RECRUITING,Myocardial Infarction,OTHER: Type of Exercise,University Medical Centre Ljubljana,,INTERVENTIONAL
NCT06437132,Decoding Death and Dying in People With Dementia by Digital Thanotyping,https://clinicaltrials.gov/study/NCT06437132,RECRUITING,Dementia,OTHER: No intervention,University of Bergen,Leiden University|Harvard University|Yale University|Tohoku University|Bergen kommune,OBSERVATIONAL
NCT06437119,The Antagonistic Effect of Plant Nutrients on Health Damage Caused by Environmental Pollutants,https://clinicaltrials.gov/study/NCT06437119,NOT_YET_RECRUITING,Intestinal Functional Disorder|Inflammation,DIETARY_SUPPLEMENT: Compound plant nutrients|DIETARY_SUPPLEMENT: placebo,Fudan University,"Amway (China) Daily-Use Commodity Co.,Ltd",INTERVENTIONAL
NCT06437106,"The Effect of Maternally Scent-digested Blanket on Stress, Crying and Physiological Parameters of Premature Newborns",https://clinicaltrials.gov/study/NCT06437106,RECRUITING,Family-centered Care,BEHAVIORAL: A blanket impregnated with the mother's odor|BEHAVIORAL: blanket without mother's smell|BEHAVIORAL: control group,Istanbul University - Cerrahpasa (IUC),,INTERVENTIONAL
NCT06437093,The Effect of Relactation Support Program on Milk Release,https://clinicaltrials.gov/study/NCT06437093,COMPLETED,"Breast Feeding, Exclusive|Mother-Child Relations",OTHER: TEACHING RELACTATION TECHNIQUES,Inonu University,,INTERVENTIONAL
NCT06437080,Hypoferritinemia Without Anemia Among Reproductive Age Females,https://clinicaltrials.gov/study/NCT06437080,ACTIVE_NOT_RECRUITING,Hypoferritenemia Without Anemia (HWA)|Iron Deficiency Without Anemia),"DRUG: Iron III Hydroxide Polymaltose Complex eq. to Elemental Iron, 100 mg|DRUG: Ferric Carboxymaltose",Akram Medical Complex,University of Lahore|Scotmann Pharmaceuticals|The Searle Company Limited Pakistan,INTERVENTIONAL
NCT06437067,Study on Prognosis of Acute-on-chronic Liver Failure Complicated by Bacterial or Fungal Infection,https://clinicaltrials.gov/study/NCT06437067,RECRUITING,Acute-On-Chronic Liver Failure,,Qin Ning,,OBSERVATIONAL
NCT06437054,Verification of the Efficacy/Safety of the Mixed Drug Injectable Delivery Vehicle for Treating Intractable Hearing Loss,https://clinicaltrials.gov/study/NCT06437054,NOT_YET_RECRUITING,"Hearing Loss, Sensorineural|Hearing Loss, Sudden|Intratympanic Injection",DRUG: Dexamethasone|DRUG: Hyaluronic acid|OTHER: Indocyanine green(ICG),Seoul National University Hospital,,INTERVENTIONAL
NCT06437041,Effect of Antibiotic Pretreatment on the Efficacy of WMT in the Treatment of Irritable Bowel Syndrome,https://clinicaltrials.gov/study/NCT06437041,NOT_YET_RECRUITING,Irritable Bowel Syndrome,DRUG: Ornidazole|DRUG: Placebo,Faming Zhang,,INTERVENTIONAL
NCT06437028,Evaluating the Efficacy of Perinatal Membrane Allografts for the Treatment of Diabetic Foot Ulcers.,https://clinicaltrials.gov/study/NCT06437028,NOT_YET_RECRUITING,Diabetic Foot Ulcer,OTHER: Multilayer perinatal tissue allograft|OTHER: Full thickness perinatal tissue allograft|OTHER: Standard of care,Samaritan Biologics,"Emergent Clinical Consulting, LLC",INTERVENTIONAL
NCT06437015,Comparison of CIMT vs Mirror Therapy Effect in Infarcted CVA Patients for Improving Hand Functions,https://clinicaltrials.gov/study/NCT06437015,ACTIVE_NOT_RECRUITING,Infected Joint,DIAGNOSTIC_TEST: Constraint-Induced Movement Therapy|OTHER: Mirror Therapy,Superior University,,INTERVENTIONAL
NCT06437002,Exploring the Full Body Representation in Anorexia Nervosa and Bulimia Nervosa,https://clinicaltrials.gov/study/NCT06437002,NOT_YET_RECRUITING,Anorexia Nervosa/Bulimia,BEHAVIORAL: Mental Motor Chronometry (MMC) Task Hands and Feet and Whole Body,Istituto Auxologico Italiano,"University of Turin, Italy|Open University|Heriot-Watt University|Catholic University of the Sacred Heart",OBSERVATIONAL
NCT06436989,Effect of Temperature Leaching Solution of Disposable Plastic Tableware on Intestinal Health of Adults,https://clinicaltrials.gov/study/NCT06436989,ENROLLING_BY_INVITATION,Intestinal Dysfunction|Inflammation,OTHER: hot purified water,Xiang Zeng,,INTERVENTIONAL
NCT06436976,The Effect of Probiotics ATG-F4 in Cancer Patients,https://clinicaltrials.gov/study/NCT06436976,RECRUITING,Pancreatic Cancer|Colon Cancer,DRUG: LT-002 (Lactobacillus reuteri ATG-F4,Chungnam National University Hospital,AtoGen Co. Ltd,INTERVENTIONAL
NCT06436963,Exploring the Application of Narrative Medicine Combined With Case-Based Learning in the Standardized Training of General Practice Residents,https://clinicaltrials.gov/study/NCT06436963,COMPLETED,Narrative Medicine|Case-based Learning,BEHAVIORAL: narrative medicine training combined with CBL training|BEHAVIORAL: CBL training,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT06436950,Electrical Phrenic Nerve Stimulation in Patients With VIDD,https://clinicaltrials.gov/study/NCT06436950,RECRUITING,Diaphragms|Phrenic Nerves,DEVICE: transcutaneous electrical phrenic nerve stimulation (TEPNS),Peking University Third Hospital,,INTERVENTIONAL
NCT06436937,Protein Quality of Fava Bean and Honey Chlorella in Humans,https://clinicaltrials.gov/study/NCT06436937,NOT_YET_RECRUITING,Protein Quality of Chlorella and Fababean Meat Analogue,DIETARY_SUPPLEMENT: Single meal containing 20 g of 15N intrinsically labelled protein from honey chlorella|DIETARY_SUPPLEMENT: Single meal containing 20 g of 15N intrinsically labelled protein from faba bean meat analogue,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",European Commission,INTERVENTIONAL
NCT06436924,Safety and Efficacy of Workflows of High Volume Single Operators in a LAAO Device Implant Procedural Day,https://clinicaltrials.gov/study/NCT06436924,RECRUITING,Atrial Fibrillation,DEVICE: Left Atrial Appendage Device Implant,"Heart Rhythm Clinical and Research Solutions, LLC",Boston Scientific Corporation,OBSERVATIONAL
NCT06436911,To Evaluate Safety and Immunogenicity of a Prophylactic Plasmid DNA,https://clinicaltrials.gov/study/NCT06436911,NOT_YET_RECRUITING,COVID-19,DRUG: COVIGENIX VAX- 002,Entos Pharmaceuticals Inc.,Calian CRO|Q2 Solutions|PCI Pharma Services,INTERVENTIONAL
NCT06436898,Proof of Concept of Hybrid Robotics for Gait Rehabilitation of Persons Post-stroke,https://clinicaltrials.gov/study/NCT06436898,NOT_YET_RECRUITING,"Stroke Sequelae|Gait, Hemiplegic",DEVICE: Combined overground gait exoskeleton and FES applied to lower limb|DEVICE: Overground gait exoskeleton,Fondazione Don Carlo Gnocchi Onlus,Istituto Italiano di Tecnologia|Istituto Nazionale di Ricovero e Cura per Anziani,INTERVENTIONAL
NCT06436885,An Exploratory Study of Efficacy and Safety of Iruplinalkib Tablets in Patients With ROS1 Positive Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT06436885,RECRUITING,Non-Small Cell Lung Cancer,DRUG: Iruplinalkib tablets,Henan Cancer Hospital,,INTERVENTIONAL
NCT06436872,The Effect of Informing the Relatives of Patients Undergoing Open Heart Surgery,https://clinicaltrials.gov/study/NCT06436872,COMPLETED,Open Heart Surgery|Life Quality|Caregiver Burden,OTHER: informing patients with using a booklet,Trakya University,,INTERVENTIONAL
NCT06436859,"The Effect of Stress Ball on Labor Pain, Anxiety and Satisfaction in Labor",https://clinicaltrials.gov/study/NCT06436859,RECRUITING,Pregnancy|Labor,BEHAVIORAL: stress ball group,Öznur Hayat Öktem,,INTERVENTIONAL
NCT06436846,Genomic Risk in Retroperitoneal Sarcoma,https://clinicaltrials.gov/study/NCT06436846,RECRUITING,Retroperitoneal Liposarcoma|Soft Tissue Sarcoma,OTHER: Biospecimen sample collection during standard-of-care surgery,Fox Chase Cancer Center,,OBSERVATIONAL
NCT06436833,Comparison of Bowel Preparation Using 2 Liter Polyethylene Glycol Regimen Plus Elobixibat Versus 4-Liter Polyethylene Glycol Regimen,https://clinicaltrials.gov/study/NCT06436833,RECRUITING,Bowel Preparation Solution|Colonoscopy,DRUG: 2-Liter polyethylene glycol plus elobixibat|DRUG: 4-Liter polyethylene glycol,Rajavithi Hospital,,INTERVENTIONAL
NCT06436820,ICP & Outflow Study,https://clinicaltrials.gov/study/NCT06436820,NOT_YET_RECRUITING,Eye Change|Idiopathic Intracranial Hypertension,PROCEDURE: Lumbar puncture,Guy's and St Thomas' NHS Foundation Trust,,OBSERVATIONAL
NCT06436807,PMCF Study of the CE-marked Drainova® ArgentiC Catheter,https://clinicaltrials.gov/study/NCT06436807,RECRUITING,"Pleural Effusion|Pleural Effusion, Malignant|Ascites|Ascites, Malignant",DEVICE: Indwelling catheter,ewimed GmbH,LS medcap GmbH,OBSERVATIONAL
NCT06436794,"""Mantou"" Screening for GDM Before 20 Weeks of Gestation",https://clinicaltrials.gov/study/NCT06436794,NOT_YET_RECRUITING,GDM,,Jiang Ziyan,,OBSERVATIONAL
NCT06436781,"Effect of Maolactin™ FMR on Exercise Recovery, Inflammation, and Muscle Comfort in an Otherwise Healthy Population",https://clinicaltrials.gov/study/NCT06436781,NOT_YET_RECRUITING,Post Exercise Inflammation|Exercise Recovery|Muscle Fatigue|Muscle Pain,DRUG: Maolactin|DRUG: Maltodextrin,RDC Clinical Pty Ltd,,INTERVENTIONAL
NCT06436768,Efficacy and Safety of Sugammadex in Thoracoscopy Thymectomy for Chinese Adults With Myasthenia Gravis,https://clinicaltrials.gov/study/NCT06436768,RECRUITING,Reversal of Neuromuscular Blockade,DRUG: Sugammadex|DRUG: Neostigmine,Beijing Tongren Hospital,The First Affiliated Hospital with Nanjing Medical University,INTERVENTIONAL
NCT06436755,Serratus Anterior Plane Block and Transthoracic Plane Block in Pectus Surgery,https://clinicaltrials.gov/study/NCT06436755,NOT_YET_RECRUITING,Pectus Excavatum,"PROCEDURE: no intervention,this is a observational studies",Başakşehir Çam & Sakura City Hospital,,OBSERVATIONAL
NCT06436742,A Phase 1b Study to Investigate Safety and Tolerability of ARGX-119 in Adult Participants With DOK7-Congenital Myasthenic Syndromes (CMS),https://clinicaltrials.gov/study/NCT06436742,NOT_YET_RECRUITING,Congenital Myasthenic Syndrome,BIOLOGICAL: ARGX-119|OTHER: Placebo,argenx,,INTERVENTIONAL
NCT06436729,Impact of MINST With and Without Splinting in Periodontitis Patients With Mobile Anterior Teeth,https://clinicaltrials.gov/study/NCT06436729,NOT_YET_RECRUITING,Tooth Mobility|Periodontitis,PROCEDURE: Splinting|PROCEDURE: MINST alone,Postgraduate Institute of Dental Sciences Rohtak,,INTERVENTIONAL
NCT06436716,Artificial Intelligence Model for Traumatic Cervical Spinal Cord Injury Based on Radiomics and Genomics,https://clinicaltrials.gov/study/NCT06436716,RECRUITING,Spinal Cord Injuries,RADIATION: MRI,Affiliated 2 Hospital of Nantong University,,OBSERVATIONAL
NCT06436703,A Study About Modified RNA Vaccines Against Influenza in Healthy Adults,https://clinicaltrials.gov/study/NCT06436703,RECRUITING,"Influenza, Human",BIOLOGICAL: Influenza ModRNA Vaccine|BIOLOGICAL: Quadrivalent Influenza Vaccine (QIV),Pfizer,,INTERVENTIONAL
NCT06436690,Optimizing Antibiotics Prescription,https://clinicaltrials.gov/study/NCT06436690,NOT_YET_RECRUITING,Antimicrobial Resistance,BEHAVIORAL: Diagnosis Mandate and Feedback,Penn State University,,INTERVENTIONAL
NCT06436677,A Study of Molecular Subtyping-based Therapeutic Strategies for Cutaneous T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06436677,RECRUITING,Cutaneous T-Cell Lymphoma/Mycosis Fungoides|Cutaneous T Cell Lymphoma,OTHER: molecular subtype based treatment,Peking University First Hospital,Peking University Third Hospital|Peking University Cancer Hospital & Institute,OBSERVATIONAL
NCT06436664,The Effects of Different Tooth Brushing Explanations in Fixed Orthodontic Treatment,https://clinicaltrials.gov/study/NCT06436664,COMPLETED,Orthodontic Treatment|Dental Plaque Induced Gingival Disease,OTHER: Tooth brushing,Yuzuncu Yıl University,,INTERVENTIONAL
NCT06436651,Digital Storytelling in Symptom Management Pediatric Oncology,https://clinicaltrials.gov/study/NCT06436651,RECRUITING,"Child, Only|Cancer|Symptoms and Signs|Narration",OTHER: Digital Storytelling,Kocaeli University,Gazi University,INTERVENTIONAL
NCT06436638,Comparison of Nasal Continuous Positive Airway Pressure (CPAP) Mask and Nasal Airway in Molar Tooth Extraction Under Deep Sedation,https://clinicaltrials.gov/study/NCT06436638,RECRUITING,Deep Sedation|Non-invasive Ventilation Support|Nasal Airway|Nasal CPAP Mask|Impacted Molar,DEVICE: Non-invasive ventilation support equipment,Gözde Nur Erkan,TC Erciyes University|Kırıkkale University,OBSERVATIONAL
NCT06436625,Outpatient Pulmonary Rehabilitation in Non-small-cell Lung Cancer Receiving Immunotherapy,https://clinicaltrials.gov/study/NCT06436625,NOT_YET_RECRUITING,NSCLC Stage IV,OTHER: outpatient pulmonary rehabilitation,Karl Landsteiner Institute for Lung Research and Pneumological Oncology,Klinik Pirawarth|Therme Wien Med,INTERVENTIONAL
NCT06436612,Study of Magnetic Resonance Image and Computed Tomography-Guided Stereotactic Body Radiation Therapy for Abdominopelvic Sarcomas (MARS Trial),https://clinicaltrials.gov/study/NCT06436612,RECRUITING,Abdominopelvic Sarcomas,RADIATION: Magnetic Resonance Image and Computed Tomography-Guided Stereotactic Body Radiation Therapy,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL
NCT06436599,Comparison of Analgesic Efficacy of Serratus Anterior Plan Block and Serratus Posterior Superior Intercostal Plan Block in Breast Surgery,https://clinicaltrials.gov/study/NCT06436599,RECRUITING,Analgesia,DRUG: plane block with %0.25 30 ml bupivacaine,Mustafa Burgac,,INTERVENTIONAL
NCT06436586,Impact of HLA Evolutionary Divergence and HLA Donor-recipient Molecular Mismatches on Kidney Allograft Rejection,https://clinicaltrials.gov/study/NCT06436586,COMPLETED,Kidney Transplantation,OTHER: No intervention,Paris Translational Research Center for Organ Transplantation,,OBSERVATIONAL
NCT06436573,Mitro-annular Disjunction in Cardiac Magnetic Resonance,https://clinicaltrials.gov/study/NCT06436573,NOT_YET_RECRUITING,Mitral Valve Prolapse Syndrome|Arrhythmogenic Bileaflet Mitral Prolapse|Mitral Valve Disorder,,IRCCS San Raffaele,,OBSERVATIONAL
